Angle (deg),X Position (cm),Height (um)
0.000000,5.492000,764.000000
0.000000,5.653000,764.000000
0.000000,5.810000,765.000000
0.000000,5.972000,764.000000
0.000000,6.130000,764.000000
0.000000,6.290000,764.000000
0.000000,6.445000,765.000000
0.000000,6.601000,764.000000
0.000000,6.765000,765.000000
0.000000,6.925000,764.000000
0.000000,7.086000,763.000000
0.000000,7.245000,763.000000
0.000000,7.405000,764.000000
0.000000,7.568000,765.000000
0.000000,7.727000,763.000000
0.000000,7.888000,764.000000
0.000000,8.050000,764.000000
0.000000,8.210000,763.000000
0.000000,8.366000,764.000000
0.000000,8.522000,764.000000
0.000000,8.681000,763.000000
0.000000,8.845000,764.000000
0.000000,9.005000,765.000000
0.000000,9.167000,768.000000
0.000000,9.327000,1026.000000
0.000000,9.490000,1028.000000
0.000000,9.654000,1026.000000
0.000000,9.814000,1026.000000
0.000000,9.974000,1028.000000
0.000000,10.136000,1026.000000
0.000000,10.295000,1027.000000
0.000000,10.444000,1028.000000
0.000000,10.602000,1028.000000
0.000000,10.767000,1027.000000
0.000000,10.928000,1027.000000
0.000000,11.087000,1027.000000
0.000000,11.248000,1028.000000
0.000000,11.410000,974.000000
0.000000,11.579000,970.000000
0.000000,11.739000,966.000000
0.000000,11.903000,963.000000
0.000000,12.066000,958.000000
0.000000,12.225000,954.000000
0.000000,12.379000,948.000000
0.000000,12.525000,946.000000
0.000000,12.684000,941.000000
0.000000,12.849000,938.000000
0.000000,13.007000,933.000000
0.000000,13.170000,929.000000
0.000000,13.333000,927.000000
0.000000,13.499000,922.000000
0.000000,13.662000,918.000000
0.000000,13.823000,914.000000
0.000000,13.991000,912.000000
0.000000,14.148000,909.000000
0.000000,14.311000,905.000000
0.000000,14.464000,901.000000
0.000000,14.606000,898.000000
0.000000,14.768000,896.000000
0.000000,14.931000,892.000000
0.000000,15.093000,889.000000
0.000000,15.255000,887.000000
0.000000,15.418000,883.000000
0.000000,15.583000,880.000000
0.000000,15.741000,878.000000
0.000000,15.911000,875.000000
0.000000,16.072000,871.000000
0.000000,16.235000,868.000000
0.000000,16.391000,866.000000
0.000000,16.535000,864.000000
0.000000,16.690000,862.000000
0.000000,16.851000,860.000000
0.000000,17.009000,858.000000
0.000000,17.172000,856.000000
0.000000,17.335000,853.000000
0.000000,17.501000,851.000000
0.000000,17.659000,850.000000
0.000000,17.821000,846.000000
0.000000,17.990000,844.000000
0.000000,18.153000,843.000000
0.000000,18.313000,842.000000
0.000000,18.461000,840.000000
0.000000,18.602000,838.000000
0.000000,18.765000,835.000000
0.000000,18.927000,834.000000
0.000000,19.088000,832.000000
0.000000,19.252000,831.000000
0.000000,19.416000,830.000000
0.000000,19.582000,828.000000
0.000000,19.739000,827.000000
0.000000,19.907000,825.000000
0.000000,20.069000,824.000000
0.000000,20.233000,822.000000
0.000000,20.385000,821.000000
0.000000,20.532000,820.000000
0.000000,20.685000,819.000000
0.000000,20.846000,817.000000
0.000000,21.006000,816.000000
0.000000,21.170000,816.000000
0.000000,21.335000,814.000000
0.000000,21.501000,813.000000
0.000000,21.660000,813.000000
0.000000,21.821000,811.000000
0.000000,21.990000,812.000000
0.000000,22.151000,811.000000
0.000000,22.305000,810.000000
0.000000,22.454000,810.000000
0.000000,22.602000,809.000000
0.000000,22.762000,808.000000
0.000000,22.924000,808.000000
0.000000,23.087000,807.000000
0.000000,23.252000,806.000000
0.000000,23.417000,806.000000
0.000000,23.582000,806.000000
0.000000,23.741000,805.000000
0.000000,23.910000,805.000000
0.000000,24.071000,803.000000
0.000000,24.233000,804.000000
0.000000,24.386000,805.000000
0.000000,24.530000,805.000000
0.000000,24.681000,804.000000
0.000000,24.847000,804.000000
0.000000,25.005000,804.000000
0.000000,25.169000,805.000000
0.000000,25.335000,805.000000
0.000000,25.501000,804.000000
0.000000,25.659000,805.000000
0.000000,25.823000,804.000000
0.000000,25.990000,804.000000
0.000000,26.152000,805.000000
0.000000,26.312000,804.000000
0.000000,26.460000,806.000000
0.000000,26.604000,806.000000
0.000000,26.764000,807.000000
0.000000,26.926000,807.000000
0.000000,27.087000,808.000000
0.000000,27.253000,809.000000
0.000000,27.417000,809.000000
0.000000,27.582000,810.000000
0.000000,27.739000,810.000000
0.000000,27.908000,812.000000
0.000000,28.071000,812.000000
0.000000,28.232000,813.000000
0.000000,28.386000,814.000000
0.000000,28.529000,815.000000
0.000000,28.682000,816.000000
0.000000,28.845000,817.000000
0.000000,29.005000,817.000000
0.000000,29.170000,819.000000
0.000000,29.335000,820.000000
0.000000,29.498000,821.000000
0.000000,29.658000,822.000000
0.000000,29.820000,823.000000
0.000000,29.988000,825.000000
0.000000,30.149000,826.000000
0.000000,30.310000,828.000000
0.000000,30.458000,830.000000
0.000000,30.606000,831.000000
0.000000,30.765000,833.000000
0.000000,30.923000,834.000000
0.000000,31.087000,835.000000
0.000000,31.252000,837.000000
0.000000,31.414000,838.000000
0.000000,31.577000,840.000000
0.000000,31.735000,842.000000
0.000000,31.905000,845.000000
0.000000,32.066000,847.000000
0.000000,32.229000,848.000000
0.000000,32.383000,850.000000
0.000000,32.529000,852.000000
0.000000,32.680000,855.000000
0.000000,32.842000,856.000000
0.000000,33.003000,858.000000
0.000000,33.168000,861.000000
0.000000,33.332000,863.000000
0.000000,33.497000,866.000000
0.000000,33.655000,868.000000
0.000000,33.818000,871.000000
0.000000,33.986000,875.000000
0.000000,34.147000,878.000000
0.000000,34.307000,882.000000
0.000000,34.454000,883.000000
0.000000,34.600000,887.000000
0.000000,34.761000,890.000000
0.000000,34.921000,893.000000
0.000000,35.084000,896.000000
0.000000,35.249000,898.000000
0.000000,35.412000,901.000000
0.000000,35.575000,904.000000
0.000000,35.734000,907.000000
0.000000,35.903000,910.000000
0.000000,36.065000,912.000000
0.000000,36.227000,914.000000
0.000000,36.380000,918.000000
0.000000,36.523000,920.000000
0.000000,36.676000,923.000000
0.000000,36.840000,926.000000
0.000000,37.000000,927.000000
0.000000,37.166000,930.000000
0.000000,37.330000,932.000000
0.000000,37.493000,935.000000
0.000000,37.652000,938.000000
0.000000,37.817000,941.000000
0.000000,37.984000,943.000000
0.000000,38.144000,947.000000
0.000000,38.304000,957.000000
0.000000,38.454000,969.000000
0.000000,38.597000,1073.000000
0.000000,38.759000,1078.000000
0.000000,38.918000,1087.000000
0.000000,39.081000,1093.000000
0.000000,39.246000,1094.000000
0.000000,39.410000,1095.000000
0.000000,39.575000,1096.000000
0.000000,39.732000,1095.000000
0.000000,39.900000,1096.000000
0.000000,40.063000,1097.000000
0.000000,40.225000,1095.000000
0.000000,40.379000,1099.000000
0.000000,40.527000,1097.000000
0.000000,40.677000,1098.000000
0.000000,40.841000,1097.000000
0.000000,41.000000,1098.000000
0.000000,41.167000,1098.000000
0.000000,41.329000,1099.000000
0.000000,41.494000,1099.000000
0.000000,41.652000,1099.000000
0.000000,41.816000,1099.000000
0.000000,41.983000,1098.000000
0.000000,42.143000,1099.000000
0.000000,42.304000,1099.000000
0.000000,42.456000,1099.000000
0.000000,42.600000,1100.000000
0.000000,42.762000,1100.000000
0.000000,42.921000,1100.000000
0.000000,43.084000,1099.000000
0.000000,43.247000,1099.000000
0.000000,43.406000,1100.000000
0.000000,43.570000,1100.000000
0.000000,43.728000,1100.000000
0.000000,43.898000,1100.000000
0.000000,44.059000,1100.000000
0.000000,44.223000,1102.000000
0.000000,44.382000,1101.000000
0.000000,44.528000,1101.000000
0.000000,44.677000,1101.000000
0.000000,44.843000,1099.000000
0.000000,45.001000,1100.000000
0.000000,45.165000,1100.000000
0.000000,45.325000,1102.000000
0.000000,45.489000,1102.000000
0.000000,45.647000,1101.000000
0.000000,45.810000,1100.000000
0.000000,45.978000,1101.000000
0.000000,46.140000,1103.000000
0.000000,46.301000,1100.000000
0.000000,46.455000,1100.000000
0.000000,46.598000,1101.000000
0.000000,46.760000,1101.000000
0.000000,46.920000,1100.000000
0.000000,47.083000,1100.000000
0.000000,47.243000,1101.000000
0.000000,47.403000,1100.000000
0.000000,47.568000,1101.000000
0.000000,47.725000,1101.000000
0.000000,47.893000,1101.000000
0.000000,48.055000,1101.000000
0.000000,48.217000,1101.000000
0.000000,48.374000,1100.000000
0.000000,48.521000,1101.000000
0.000000,48.672000,1101.000000
0.000000,48.839000,1101.000000
0.000000,48.995000,1100.000000
0.000000,49.160000,1100.000000
0.000000,49.320000,1101.000000
0.000000,49.485000,1102.000000
0.000000,49.644000,1101.000000
