X Position,Angle (deg),Height (mm)
6.886,-29.193673,24.717689
7.128,-29.216592,24.737094
7.37,-29.193673,24.717689
7.618,-29.193673,24.717689
7.858,-29.193673,24.717689
8.103,-29.147836,24.67888
8.339,-29.193673,24.717689
8.562,-29.193673,24.717689
8.803,-29.216592,24.737094
9.044,-29.170755,24.698284
9.288,-18.651131,15.791533
9.535,-18.651131,15.791533
9.778,-18.651131,15.791533
10.027,-18.67405,15.810938
10.265,-18.605294,15.752724
10.49,-18.696968,15.830343
10.722,-18.67405,15.810938
10.965,-18.67405,15.810938
11.21,-18.628213,15.772128
11.456,-18.651131,15.791533
11.702,-18.651131,15.791533
11.95,-18.628213,15.772128
12.193,-18.651131,15.791533
12.421,-18.67405,15.810938
12.641,-18.67405,15.810938
12.886,-18.696968,15.830343
13.129,-18.696968,15.830343
13.376,-18.67405,15.810938
13.624,-18.696968,15.830343
13.864,-18.719887,15.849747
14.113,-18.651131,15.791533
14.35,-18.696968,15.830343
14.566,-18.719887,15.849747
14.806,-18.651131,15.791533
15.048,-18.696968,15.830343
15.296,-18.788643,15.907961
15.542,-18.605294,15.752724
15.78,-18.765724,15.888557
16.032,-18.605294,15.752724
16.274,-18.696968,15.830343
16.5,-18.719887,15.849747
16.728,-18.67405,15.810938
16.969,-18.628213,15.772128
17.218,-18.651131,15.791533
17.459,-18.719887,15.849747
17.701,-18.719887,15.849747
17.952,-18.742805,15.869152
18.194,-18.719887,15.849747
18.431,-18.719887,15.849747
18.65,-18.765724,15.888557
18.892,-18.719887,15.849747
19.133,-18.719887,15.849747
19.379,-18.628213,15.772128
19.625,-18.605294,15.752724
19.867,-18.651131,15.791533
20.113,-18.696968,15.830343
20.353,-18.67405,15.810938
20.576,-18.651131,15.791533
20.81,-18.696968,15.830343
21.05,-18.651131,15.791533
21.298,-18.696968,15.830343
21.545,-18.67405,15.810938
21.782,-18.67405,15.810938
22.034,-18.651131,15.791533
22.275,-18.651131,15.791533
22.499,-18.696968,15.830343
22.725,-18.628213,15.772128
22.965,-18.696968,15.830343
23.21,-18.628213,15.772128
23.457,-18.628213,15.772128
23.699,-18.67405,15.810938
23.947,-18.628213,15.772128
24.186,-18.651131,15.791533
24.419,-18.651131,15.791533
24.639,-18.628213,15.772128
24.883,-18.696968,15.830343
25.128,-18.696968,15.830343
25.377,-18.67405,15.810938
25.623,-18.67405,15.810938
25.864,-18.651131,15.791533
26.111,-18.67405,15.810938
26.348,-18.696968,15.830343
26.563,-18.696968,15.830343
26.8,-18.651131,15.791533
27.041,-18.651131,15.791533
27.29,-18.696968,15.830343
27.54,-18.719887,15.849747
27.776,-18.696968,15.830343
28.026,-18.67405,15.810938
28.265,-18.696968,15.830343
28.485,-18.651131,15.791533
28.715,-18.651131,15.791533
28.959,-18.696968,15.830343
29.205,-18.719887,15.849747
29.45,-18.742805,15.869152
29.693,-18.67405,15.810938
29.941,-18.605294,15.752724
30.182,-18.559457,15.713914
30.414,-18.696968,15.830343
30.633,-18.651131,15.791533
30.879,-18.719887,15.849747
31.121,-18.67405,15.810938
31.367,-18.696968,15.830343
31.612,-18.696968,15.830343
31.852,-18.719887,15.849747
32.094,-18.696968,15.830343
32.335,-18.696968,15.830343
32.552,-18.651131,15.791533
32.795,-18.696968,15.830343
33.038,-18.67405,15.810938
33.288,-18.67405,15.810938
33.536,-18.67405,15.810938
33.773,-18.651131,15.791533
34.022,-18.651131,15.791533
34.265,-18.651131,15.791533
34.491,-18.628213,15.772128
34.718,-18.628213,15.772128
34.96,-18.696968,15.830343
35.208,-18.67405,15.810938
35.45,-18.696968,15.830343
35.693,-18.605294,15.752724
35.943,-18.651131,15.791533
36.186,-18.67405,15.810938
36.418,-18.67405,15.810938
36.633,-18.628213,15.772128
36.88,-18.696968,15.830343
37.125,-18.651131,15.791533
37.37,-18.67405,15.810938
37.614,-18.67405,15.810938
37.857,-18.651131,15.791533
38.1,-18.742805,15.869152
38.336,-18.696968,15.830343
38.554,-18.696968,15.830343
38.794,-18.605294,15.752724
39.036,-18.651131,15.791533
39.287,-18.605294,15.752724
39.534,-18.719887,15.849747
39.771,-18.67405,15.810938
40.02,-18.605294,15.752724
40.262,-18.651131,15.791533
40.49,-18.651131,15.791533
40.712,-18.67405,15.810938
40.954,-18.605294,15.752724
41.202,-18.605294,15.752724
41.447,-18.605294,15.752724
41.688,-18.605294,15.752724
41.938,-18.628213,15.772128
42.18,-18.651131,15.791533
42.419,-18.67405,15.810938
42.638,-18.67405,15.810938
42.882,-18.651131,15.791533
43.123,-18.67405,15.810938
43.364,-18.67405,15.810938
43.609,-18.651131,15.791533
43.849,-18.651131,15.791533
44.096,-18.651131,15.791533
44.338,-18.67405,15.810938
44.556,-18.628213,15.772128
44.788,-18.67405,15.810938
45.029,-18.628213,15.772128
45.276,-18.651131,15.791533
45.518,-18.628213,15.772128
45.755,-18.696968,15.830343
46.004,-18.628213,15.772128
46.242,-18.67405,15.810938
46.463,-18.605294,15.752724
46.694,-18.67405,15.810938
46.938,-18.605294,15.752724
47.182,-18.605294,15.752724
47.426,-18.651131,15.791533
47.665,-18.696968,15.830343
47.899,-18.559457,15.713914
48.137,-18.559457,15.713914
48.374,-18.559457,15.713914
48.603,-18.605294,15.752724
48.852,-18.582375,15.733319
49.098,-18.582375,15.733319
49.346,-18.605294,15.752724
49.591,-18.582375,15.733319
49.831,-18.559457,15.713914
50.074,-18.605294,15.752724
50.308,-18.628213,15.772128
50.526,-18.628213,15.772128
50.77,-18.582375,15.733319
51.013,-18.605294,15.752724
51.264,-18.605294,15.752724
51.511,-18.605294,15.752724
51.747,-18.582375,15.733319
51.994,-18.582375,15.733319
52.232,-18.651131,15.791533
52.455,-18.628213,15.772128
52.684,-18.605294,15.752724
52.93,-18.628213,15.772128
53.18,-18.605294,15.752724
53.425,-18.628213,15.772128
53.666,-18.605294,15.752724
53.912,-18.628213,15.772128
54.151,-18.605294,15.752724
54.379,-18.605294,15.752724
54.601,-18.628213,15.772128
54.849,-18.605294,15.752724
55.095,-18.628213,15.772128
55.343,-18.628213,15.772128
55.588,-18.628213,15.772128
55.827,-18.605294,15.752724
56.073,-18.628213,15.772128
56.309,-18.605294,15.752724
56.525,-18.651131,15.791533
56.767,-18.559457,15.713914
57.012,-18.582375,15.733319
57.261,-18.605294,15.752724
57.505,-18.559457,15.713914
57.741,-18.559457,15.713914
57.992,-18.582375,15.733319
58.233,-18.559457,15.713914
58.459,-18.559457,15.713914
58.687,-18.582375,15.733319
58.934,-18.628213,15.772128
59.18,-18.605294,15.752724
59.421,-18.628213,15.772128
59.662,-18.559457,15.713914
59.911,-18.605294,15.752724
60.153,-18.651131,15.791533
60.387,-18.582375,15.733319
60.607,-18.651131,15.791533
60.855,-18.605294,15.752724
61.098,-18.628213,15.772128
61.341,-18.605294,15.752724
61.585,-18.605294,15.752724
61.825,-18.605294,15.752724
62.071,-18.628213,15.772128
62.31,-18.628213,15.772128
62.53,-18.628213,15.772128
62.771,-18.628213,15.772128
63.013,-18.605294,15.752724
63.26,-18.605294,15.752724
63.505,-18.651131,15.791533
63.74,-18.605294,15.752724
63.99,-18.651131,15.791533
64.231,-18.651131,15.791533
64.455,-18.628213,15.772128
64.683,-18.605294,15.752724
64.929,-18.605294,15.752724
65.175,-18.605294,15.752724
65.415,-18.628213,15.772128
65.658,-18.605294,15.752724
65.907,-18.628213,15.772128
66.149,-18.605294,15.752724
66.382,-18.67405,15.810938
66.602,-18.67405,15.810938
66.849,-18.651131,15.791533
67.094,-18.605294,15.752724
67.336,-18.696968,15.830343
67.58,-18.651131,15.791533
67.82,-18.605294,15.752724
68.068,-18.651131,15.791533
68.308,-18.719887,15.849747
68.531,-18.651131,15.791533
68.77,-18.628213,15.772128
69.013,-18.651131,15.791533
69.257,-18.582375,15.733319
69.502,-18.628213,15.772128
69.736,-18.628213,15.772128
69.985,-18.628213,15.772128
70.225,-18.605294,15.752724
70.449,-18.651131,15.791533
70.678,-18.628213,15.772128
70.925,-18.651131,15.791533
71.173,-18.651131,15.791533
71.413,-18.651131,15.791533
71.653,-18.651131,15.791533
71.9,-18.628213,15.772128
72.142,-18.628213,15.772128
72.375,-18.628213,15.772128
72.598,-18.628213,15.772128
72.846,-18.67405,15.810938
73.09,-18.651131,15.791533
73.331,-18.628213,15.772128
73.574,-18.605294,15.752724
73.813,-18.628213,15.772128
74.059,-18.628213,15.772128
74.297,-18.651131,15.791533
74.518,-18.628213,15.772128
74.762,-18.605294,15.752724
75.006,-18.605294,15.752724
75.251,-18.628213,15.772128
75.495,-18.67405,15.810938
75.729,-18.628213,15.772128
75.977,-18.651131,15.791533
76.216,-18.628213,15.772128
76.444,-18.605294,15.752724
76.673,-18.605294,15.752724
76.922,-18.605294,15.752724
77.166,-18.582375,15.733319
77.407,-18.605294,15.752724
77.648,-18.559457,15.713914
77.896,-18.605294,15.752724
78.137,-18.582375,15.733319
78.37,-18.559457,15.713914
78.593,-18.51362,15.675105
78.84,-18.559457,15.713914
79.085,-18.605294,15.752724
79.327,-18.605294,15.752724
79.571,-18.559457,15.713914
79.81,-18.559457,15.713914
80.056,-18.651131,15.791533
80.296,-18.628213,15.772128
80.518,-18.559457,15.713914
80.759,-18.628213,15.772128
81.003,-18.582375,15.733319
81.245,-18.559457,15.713914
81.491,-18.467783,15.636296
81.725,-18.605294,15.752724
81.975,-18.605294,15.752724
82.217,-18.582375,15.733319
82.446,-18.582375,15.733319
82.675,-18.582375,15.733319
82.92,-18.582375,15.733319
83.165,-18.582375,15.733319
83.405,-18.605294,15.752724
83.645,-18.582375,15.733319
83.894,-18.605294,15.752724
84.136,-18.605294,15.752724
84.37,-29.101999,24.64007
84.591,-29.147836,24.67888
84.839,-29.147836,24.67888
85.081,-29.147836,24.67888
85.321,-29.147836,24.67888
85.564,-29.147836,24.67888
85.804,-29.147836,24.67888
86.051,-29.170755,24.698284
86.287,-29.170755,24.698284
86.51,-29.170755,24.698284
86.755,-29.147836,24.67888
86.997,-29.147836,24.67888
87.24,-29.147836,24.67888
87.484,-29.170755,24.698284
87.719,-29.147836,24.67888
87.97,-29.147836,24.67888
88.211,-29.124918,24.659475
88.437,-29.124918,24.659475
88.671,-29.124918,24.659475
88.917,-29.147836,24.67888
89.157,-29.170755,24.698284
89.386,-29.147836,24.67888
86.691,-28.298547,25.648308
86.447,-28.276296,25.628141
86.21,-28.320798,25.668475
85.973,-28.320798,25.668475
85.736,-28.276296,25.628141
85.497,-28.298547,25.648308
85.254,-28.320798,25.668475
85.02,-28.276296,25.628141
84.777,-28.276296,25.628141
84.531,-28.298547,25.648308
84.292,-28.254045,25.607974
84.054,-17.996434,16.311017
83.816,-17.929681,16.250516
83.578,-17.951932,16.270683
83.337,-17.951932,16.270683
83.099,-17.951932,16.270683
82.86,-17.90743,16.230349
82.613,-17.929681,16.250516
82.372,-17.951932,16.270683
82.135,-17.951932,16.270683
81.897,-17.951932,16.270683
81.659,-17.951932,16.270683
81.418,-17.929681,16.250516
81.178,-17.90743,16.230349
80.941,-17.88518,16.210182
80.696,-17.88518,16.210182
80.452,-17.951932,16.270683
80.214,-17.951932,16.270683
79.977,-17.929681,16.250516
79.738,-17.929681,16.250516
79.499,-17.90743,16.230349
79.256,-17.996434,16.311017
79.022,-17.90743,16.230349
78.779,-17.974183,16.29085
78.534,-17.951932,16.270683
78.295,-17.951932,16.270683
78.058,-17.951932,16.270683
77.82,-17.929681,16.250516
77.582,-17.90743,16.230349
77.339,-17.90743,16.230349
77.102,-17.929681,16.250516
76.866,-17.951932,16.270683
76.62,-17.951932,16.270683
