Angle (deg),X Position (cm),Height (um)
22.598000,0.000000,30.624623
22.759000,0.000000,30.624623
22.907000,0.000000,30.654653
23.067000,0.000000,30.594593
23.230000,0.000000,30.594593
23.393000,0.000000,30.624623
23.566000,0.000000,30.654653
23.733000,0.000000,30.654653
23.892000,0.000000,30.654653
24.049000,0.000000,30.654653
24.205000,0.000000,30.654653
24.365000,0.000000,30.654653
24.517000,0.000000,30.654653
24.679000,0.000000,30.594593
24.831000,0.000000,30.594593
24.985000,0.000000,30.624623
25.148000,0.000000,30.594593
25.311000,0.000000,30.594593
25.477000,0.000000,30.594593
25.651000,0.000000,30.654653
25.812000,0.000000,30.654653
25.971000,0.000000,30.624623
26.126000,0.000000,30.624623
26.282000,0.000000,30.624623
26.442000,0.000000,30.624623
26.596000,0.000000,30.624623
26.756000,0.000000,30.624623
26.905000,0.000000,30.624623
27.067000,0.000000,30.594593
27.230000,0.000000,30.594593
27.392000,0.000000,30.594593
27.564000,0.000000,30.624623
27.731000,0.000000,30.624623
27.890000,0.000000,30.624623
28.048000,0.000000,30.654653
28.203000,0.000000,30.654653
28.363000,0.000000,30.624623
28.515000,0.000000,30.654653
28.676000,0.000000,30.654653
28.828000,0.000000,30.624623
28.983000,0.000000,30.654653
29.148000,0.000000,30.594593
29.311000,0.000000,30.624623
29.474000,0.000000,30.624623
29.648000,0.000000,30.624623
29.809000,0.000000,30.624623
29.968000,0.000000,30.624623
30.123000,0.000000,30.654653
30.279000,0.000000,30.654653
30.438000,0.000000,30.624623
30.594000,0.000000,30.624623
30.753000,0.000000,30.624623
30.903000,0.000000,30.594593
31.064000,0.000000,30.594593
31.227000,0.000000,30.654653
31.390000,0.000000,30.594593
31.560000,0.000000,30.654653
31.727000,0.000000,30.624623
31.886000,0.000000,30.624623
32.043000,0.000000,30.624623
32.199000,0.000000,30.624623
32.360000,0.000000,30.564563
32.512000,0.000000,33.837837
32.673000,0.000000,34.678677
32.825000,0.000000,35.309308
32.981000,0.000000,35.399398
33.145000,0.000000,35.459458
33.308000,0.000000,35.519518
33.472000,0.000000,35.669668
33.646000,0.000000,36.060059
33.807000,0.000000,36.420419
33.964000,0.000000,36.750750
34.120000,0.000000,36.810810
34.275000,0.000000,36.900900
34.433000,0.000000,36.960960
34.589000,0.000000,37.021020
34.748000,0.000000,37.051050
34.899000,0.000000,37.081080
35.059000,0.000000,37.171170
35.222000,0.000000,37.231230
35.385000,0.000000,37.261260
35.556000,0.000000,37.351350
35.724000,0.000000,37.381380
35.882000,0.000000,37.441440
36.040000,0.000000,37.501500
36.195000,0.000000,37.501500
36.356000,0.000000,37.531530
36.506000,0.000000,37.531530
36.663000,0.000000,37.591590
36.817000,0.000000,37.651650
36.973000,0.000000,37.621620
37.138000,0.000000,37.681680
37.302000,0.000000,37.711710
37.467000,0.000000,37.711710
37.640000,0.000000,37.741741
37.801000,0.000000,37.801801
37.959000,0.000000,37.801801
38.114000,0.000000,37.801801
38.268000,0.000000,37.831831
38.426000,0.000000,37.861861
38.580000,0.000000,37.861861
38.740000,0.000000,37.861861
38.892000,0.000000,37.891891
39.053000,0.000000,37.891891
39.218000,0.000000,37.921921
39.381000,0.000000,37.921921
39.552000,0.000000,37.921921
39.719000,0.000000,37.981981
39.877000,0.000000,37.921921
40.033000,0.000000,37.951951
40.189000,0.000000,37.981981
40.349000,0.000000,37.951951
40.501000,0.000000,37.951951
40.659000,0.000000,37.921921
40.813000,0.000000,37.951951
40.971000,0.000000,37.921921
41.136000,0.000000,37.861861
41.300000,0.000000,37.861861
41.463000,0.000000,37.831831
41.635000,0.000000,37.771771
41.795000,0.000000,37.711710
41.954000,0.000000,37.681680
42.108000,0.000000,37.651650
42.263000,0.000000,37.561560
42.422000,0.000000,37.471470
42.577000,0.000000,37.411410
42.736000,0.000000,37.261260
42.889000,0.000000,37.171170
43.052000,0.000000,37.111110
43.216000,0.000000,37.021020
43.376000,0.000000,36.930930
43.545000,0.000000,36.870870
43.712000,0.000000,36.780780
43.870000,0.000000,36.720719
44.027000,0.000000,36.630629
44.182000,0.000000,36.540539
44.342000,0.000000,36.480479
44.495000,0.000000,36.390389
44.655000,0.000000,36.360359
44.808000,0.000000,36.270269
44.966000,0.000000,36.180179
45.131000,0.000000,36.120119
45.295000,0.000000,36.030029
45.456000,0.000000,35.939939
45.628000,0.000000,35.909909
45.787000,0.000000,35.849849
45.945000,0.000000,35.729728
46.100000,0.000000,35.699698
46.255000,0.000000,35.639638
46.412000,0.000000,35.579578
46.568000,0.000000,35.549548
46.728000,0.000000,35.489488
46.881000,0.000000,35.429428
47.044000,0.000000,35.339338
47.207000,0.000000,35.309308
47.368000,0.000000,35.249248
47.537000,0.000000,35.219218
47.703000,0.000000,35.189188
47.860000,0.000000,35.129128
48.016000,0.000000,35.099098
48.170000,0.000000,35.039038
48.330000,0.000000,34.978978
48.483000,0.000000,34.948948
48.642000,0.000000,34.888888
48.797000,0.000000,34.858858
48.954000,0.000000,34.828828
49.119000,0.000000,34.768768
49.284000,0.000000,34.768768
49.446000,0.000000,34.738738
49.618000,0.000000,34.708707
49.776000,0.000000,34.678677
49.935000,0.000000,34.648647
50.090000,0.000000,34.618617
50.245000,0.000000,34.618617
50.402000,0.000000,34.588587
50.556000,0.000000,34.558557
50.717000,0.000000,34.528527
50.871000,0.000000,34.468467
51.035000,0.000000,34.468467
51.201000,0.000000,34.438437
51.363000,0.000000,34.438437
51.530000,0.000000,34.408407
51.697000,0.000000,34.408407
51.855000,0.000000,34.438437
52.010000,0.000000,34.378377
52.165000,0.000000,34.318317
52.324000,0.000000,34.348347
52.476000,0.000000,34.348347
52.635000,0.000000,34.348347
52.792000,0.000000,34.348347
52.950000,0.000000,34.348347
53.118000,0.000000,34.378377
53.282000,0.000000,34.318317
53.444000,0.000000,34.318317
53.617000,0.000000,34.348347
53.775000,0.000000,34.348347
53.933000,0.000000,34.348347
54.087000,0.000000,34.318317
54.242000,0.000000,34.318317
54.400000,0.000000,34.288287
54.554000,0.000000,34.318317
54.714000,0.000000,34.288287
54.869000,0.000000,34.288287
55.034000,0.000000,34.288287
55.200000,0.000000,34.348347
55.361000,0.000000,34.348347
55.527000,0.000000,34.348347
55.694000,0.000000,34.408407
55.851000,0.000000,34.378377
56.007000,0.000000,34.408407
56.161000,0.000000,34.408407
56.320000,0.000000,34.408407
56.470000,0.000000,34.438437
56.631000,0.000000,34.408407
56.786000,0.000000,34.498497
56.946000,0.000000,34.498497
57.116000,0.000000,34.498497
57.279000,0.000000,34.498497
57.439000,0.000000,34.528527
57.609000,0.000000,34.588587
57.768000,0.000000,34.618617
57.926000,0.000000,34.618617
58.080000,0.000000,34.648647
58.234000,0.000000,34.678677
58.391000,0.000000,34.678677
58.544000,0.000000,34.738738
58.706000,0.000000,34.768768
58.861000,0.000000,34.768768
59.027000,0.000000,34.828828
59.192000,0.000000,34.828828
59.352000,0.000000,34.858858
59.519000,0.000000,34.948948
59.684000,0.000000,34.948948
59.841000,0.000000,34.978978
59.998000,0.000000,35.039038
60.151000,0.000000,35.069068
60.310000,0.000000,35.099098
60.461000,0.000000,35.099098
60.623000,0.000000,35.129128
60.779000,0.000000,35.159158
60.937000,0.000000,35.249248
61.106000,0.000000,35.279278
61.269000,0.000000,35.309308
61.429000,0.000000,35.339338
61.600000,0.000000,35.399398
61.759000,0.000000,35.459458
61.916000,0.000000,35.519518
61.747000,1.096001,35.712915
61.583000,1.095080,35.682899
61.423000,1.094159,35.652883
61.266000,1.092316,35.592851
61.112000,1.090474,35.532819
60.956000,1.089553,35.502803
60.797000,1.088632,35.472788
60.635000,1.086789,35.412756
60.475000,1.085868,35.382740
60.314000,1.085868,35.382740
60.156000,1.084026,35.322708
59.995000,1.083105,35.292692
59.831000,1.082183,35.262676
59.667000,1.081262,35.232660
59.505000,1.080341,35.202644
59.348000,1.079420,35.172629
59.195000,1.077578,35.112597
59.037000,1.076656,35.082581
58.879000,1.076656,35.082581
58.718000,1.074814,35.022549
58.558000,1.074814,35.022549
58.398000,1.073893,34.992533
58.239000,1.072051,34.932501
58.081000,1.072051,34.932501
57.919000,1.072051,34.932501
57.755000,1.071129,34.902486
57.591000,1.070208,34.872470
57.430000,1.069287,34.842454
57.276000,1.067445,34.782422
57.125000,1.067445,34.782422
