Angle (deg),X Position (cm),Height (um)
14.741000,-0.046931,30.594557
14.832000,-0.046931,30.594557
14.923000,-0.046931,30.594557
15.022000,-0.046931,30.594557
15.124000,-0.046931,30.594557
15.226000,-0.046931,30.594557
15.329000,-0.046931,30.594557
15.431000,-0.046931,30.594557
15.535000,-0.046977,30.624587
15.644000,-0.046931,30.594557
15.745000,-0.046977,30.624587
15.842000,-0.046931,30.594557
15.943000,-0.046977,30.624587
16.040000,-0.046885,30.564527
16.137000,-0.046931,30.594557
16.233000,-0.046977,30.624587
16.338000,-0.046977,30.624587
16.433000,-0.046931,30.594557
16.531000,-0.046977,30.624587
16.634000,-0.046977,30.624587
16.739000,-0.046931,30.594557
16.832000,-0.046931,30.594557
16.923000,-0.046885,30.564527
17.022000,-0.046885,30.564527
17.123000,-0.046839,30.534497
17.225000,-0.046931,30.594557
17.327000,-0.046931,30.594557
17.430000,-0.046977,30.624587
17.534000,-0.046931,30.594557
17.642000,-0.046977,30.624587
17.742000,-0.047023,30.654617
17.840000,-0.046931,30.594557
17.941000,-0.046977,30.624587
18.038000,-0.047023,30.654617
18.135000,-0.046977,30.624587
18.232000,-0.047023,30.654617
18.336000,-0.046977,30.624587
18.432000,-0.046931,30.594557
18.530000,-0.046977,30.624587
18.633000,-0.046931,30.594557
18.739000,-0.046885,30.564527
18.831000,-0.046931,30.594557
18.922000,-0.046931,30.594557
19.021000,-0.046931,30.594557
19.122000,-0.046977,30.624587
19.224000,-0.046931,30.594557
19.327000,-0.046931,30.594557
19.430000,-0.046931,30.594557
19.534000,-0.046977,30.624587
19.643000,-0.046885,30.564527
19.743000,-0.046977,30.624587
19.841000,-0.047023,30.654617
19.940000,-0.047023,30.654617
20.036000,-0.046931,30.594557
20.134000,-0.046931,30.594557
20.230000,-0.046931,30.594557
20.334000,-0.046977,30.624587
20.430000,-0.046931,30.594557
20.529000,-0.046931,30.594557
20.631000,-0.046977,30.624587
20.736000,-0.046931,30.594557
20.829000,-0.046885,30.564527
20.921000,-0.046931,30.594557
21.019000,-0.046931,30.594557
21.120000,-0.046931,30.594557
21.222000,-0.046931,30.594557
21.325000,-0.046885,30.564527
21.428000,-0.046885,30.564527
21.533000,-0.046931,30.594557
21.642000,-0.046977,30.624587
21.743000,-0.046931,30.594557
21.841000,-0.046931,30.594557
21.941000,-0.046977,30.624587
22.038000,-0.046977,30.624587
22.136000,-0.046931,30.594557
22.232000,-0.046977,30.624587
22.336000,-0.046977,30.624587
22.431000,-0.046931,30.594557
22.529000,-0.046931,30.594557
22.631000,-0.046931,30.594557
22.733000,-0.046885,30.564527
22.827000,-0.046931,30.594557
22.918000,-0.046931,30.594557
23.018000,-0.046977,30.624587
23.119000,-0.046977,30.624587
23.223000,-0.046977,30.624587
23.326000,-0.046931,30.594557
23.430000,-0.046931,30.594557
23.534000,-0.046977,30.624587
23.642000,-0.047023,30.654617
23.743000,-0.047023,30.654617
23.841000,-0.047023,30.654617
23.941000,-0.047023,30.654617
24.037000,-0.046977,30.624587
24.135000,-0.046977,30.624587
24.231000,-0.046977,30.624587
24.334000,-0.046931,30.594557
24.430000,-0.046977,30.624587
24.527000,-0.046977,30.624587
24.629000,-0.046977,30.624587
24.731000,-0.046977,30.624587
24.825000,-0.046931,30.594557
